month_index,month,lunar_month,tamil_month
1,January 2025,Pausha-Magha,Margazhi - Thai (Dhanus - Makara)
2,February 2025,Magha-Phalguna,Thai - Maasi (Makara - Kumbha)
3,March 2025,Phalguna-Chaitra,Maasi - Phanguni (Kumbha - Mina)
4,April 2025,Chaitra-Vaishakha,Phanguni - Chittirai (Mina - Mesha)
5,May 2025,Vaishakha-Jyeshta,Chittirai - Vaikasi (Mesha - Vrishabha)
6,June 2025,Jyeshta-Ashaadha,Vaikasi - Aani  (Vrishabha - Mithuna)
7,July 2025,Ashaadha-Shravana,Aani - Aadi  (Mithuna -  Karkataka)
8,August 2025,Shravana-Bhadrapada,Aadi - Aavani  (Karkataka - Simha)
9,September 2025,Bhadrapada-Ashvayuja,Aavani - Purattaasi (Simha - Kanya)
10,October 2025,Aashvayuja-Kartika,Purattaasi - Aippasi (Kanya - Tula)
11,November 2025,Kartika-Margasira,Aippasi - Kartikai (Tula - Vrushchika)
12,December 2025,Margasira-Pausha,Kartikai - Margazhi  (Vrushchika - Dhanus)